cost,SR,max_value,operation_time
50.0,0.6601999999999999,1.3398,0.0
51.0,0.6297999999999999,1.3702,27.088651180267334
52.0,0.6297999999999999,1.3702,4.496909141540527
53.0,0.5660999999999998,1.4339000000000002,3.238121747970581
54.0,0.5660999999999998,1.4339000000000002,3.540113925933838
55.0,0.5660999999999998,1.4339000000000002,3.9915244579315186
57.0,0.5660999999999998,1.4339000000000002,3.7973504066467285
58.0,0.5660999999999998,1.4339000000000002,4.155909299850464
60.0,0.5660999999999998,1.4339000000000002,3.6567203998565674
61.0,0.5660999999999998,1.4339000000000002,3.3166167736053467
62.0,0.5660999999999998,1.4339000000000002,4.834980010986328
63.0,0.5660999999999998,1.4339000000000002,3.424009323120117
64.0,0.5660999999999998,1.4339000000000002,3.309793710708618
66.0,0.5660999999999998,1.4339000000000002,4.495869874954224
67.0,0.5660999999999998,1.4339000000000002,3.620283603668213
68.0,0.5660999999999998,1.4339000000000002,3.940159559249878
69.0,0.5660999999999998,1.4339000000000002,3.2847955226898193
70.0,0.5660999999999998,1.4339000000000002,3.257502317428589
72.0,0.5660999999999998,1.4339000000000002,4.82357382774353
75.0,0.5660999999999998,1.4339000000000002,3.4689218997955322
76.0,0.5660999999999998,1.4339000000000002,3.4980669021606445
77.0,0.5660999999999998,1.4339000000000002,4.849366903305054
81.0,0.5660999999999998,1.4339000000000002,4.009607791900635
83.0,0.5660999999999998,1.4339000000000002,4.594226360321045
88.0,0.5660999999999998,1.4339000000000002,3.6358094215393066
93.0,0.5660999999999998,1.4339000000000002,3.6621592044830322
96.0,0.5660999999999998,1.4339000000000002,4.5479207038879395
97.0,0.5660999999999998,1.4339000000000002,3.331916332244873
98.0,0.5660999999999998,1.4339000000000002,12.983978748321533
100.0,0.5660999999999998,1.4339000000000002,4.7186901569366455
102.0,0.5660999999999998,1.4339000000000002,3.4134912490844727
103.0,0.5660999999999998,1.4339000000000002,4.142389535903931
104.0,0.5660999999999998,1.4339000000000002,3.7455644607543945
108.0,0.5660999999999998,1.4339000000000002,3.6138439178466797
109.0,0.5281,1.4719,4.665947198867798
110.0,0.5281,1.4719,3.63838267326355
111.0,0.5281,1.4719,3.3531081676483154
112.0,0.5281,1.4719,3.698430061340332
118.0,0.5281,1.4719,4.106409549713135
119.0,0.5281,1.4719,3.3282217979431152
120.0,0.5281,1.4719,4.251299142837524
121.0,0.5281,1.4719,3.6658225059509277
122.0,0.5281,1.4719,3.3320627212524414
123.0,0.5281,1.4719,4.619992256164551
125.0,0.5281,1.4719,14.211423397064209
127.0,0.5281,1.4719,3.6630961894989014
128.0,0.5281,1.4719,3.9985055923461914
129.0,0.5281,1.4719,3.351198196411133
130.0,0.5281,1.4719,4.404554605484009
133.0,0.5281,1.4719,3.6057629585266113
134.0,0.5281,1.4719,3.912170648574829
135.0,0.5281,1.4719,4.692602157592773
136.0,0.5281,1.4719,3.4294910430908203
139.0,0.5281,1.4719,3.5560734272003174
144.0,0.5281,1.4719,4.7346367835998535
145.0,0.5281,1.4719,3.4446916580200195
147.0,0.5281,1.4719,9.873159646987915
148.0,0.5281,1.4719,10.486654043197632
149.0,0.5281,1.4719,4.114652395248413
151.0,0.5281,1.4719,3.678398370742798
153.0,0.5281,1.4719,3.6682393550872803
154.0,0.5281,1.4719,4.953318357467651
156.0,0.5281,1.4719,3.54061222076416
157.0,0.5281,1.4719,13.97182321548462
158.0,0.5281,1.4719,3.7310192584991455
160.0,0.5281,1.4719,3.428051710128784
162.0,0.5281,1.4719,4.488614559173584
164.0,0.5281,1.4719,3.7177083492279053
168.0,0.5281,1.4719,3.567897319793701
169.0,0.5281,1.4719,4.756205320358276
170.0,0.5281,1.4719,3.4619460105895996
171.0,0.5281,1.4719,3.638936758041382
172.0,0.5281,1.4719,4.432913303375244
173.0,0.5281,1.4719,3.5267887115478516
174.0,0.5281,1.4719,3.928567886352539
175.0,0.5281,1.4719,3.775587797164917
180.0,0.5281,1.4719,3.5159149169921875
184.0,0.5281,1.4719,4.395312309265137
186.0,0.5281,1.4719,3.4083356857299805
188.0,0.5281,1.4719,3.4814023971557617
191.0,0.5281,1.4719,4.962268352508545
192.0,0.5281,1.4719,3.508955955505371
194.0,0.5281,1.4719,3.7783679962158203
197.0,0.5281,1.4719,3.6305792331695557
199.0,0.5281,1.4719,4.97496223449707
200.0,0.5281,1.4719,3.8067357540130615
201.0,0.5281,1.4719,3.7725090980529785
202.0,0.5281,1.4719,5.431731224060059
204.0,0.5281,1.4719,4.004179954528809
206.0,0.5281,1.4719,3.687305450439453
209.0,0.5103,1.4897,4.592804670333862
211.0,0.5103,1.4897,9.414230108261108
212.0,0.5103,1.4897,4.269323825836182
213.0,0.5103,1.4897,4.315911769866943
217.0,0.5103,1.4897,4.11554217338562
218.0,0.5103,1.4897,5.018948316574097
224.0,0.5103,1.4897,4.530812501907349
225.0,0.5103,1.4897,3.8678507804870605
226.0,0.5103,1.4897,4.651618480682373
227.0,0.5103,1.4897,3.8724684715270996
229.0,0.5103,1.4897,3.720456600189209
232.0,0.5103,1.4897,5.673383712768555
233.0,0.5103,1.4897,4.049299240112305
234.0,0.5103,1.4897,3.8410580158233643
235.0,0.5103,1.4897,4.695857763290405
236.0,0.5103,1.4897,3.8244800567626953
237.0,0.5103,1.4897,4.43114709854126
238.0,0.5103,1.4897,3.825303077697754
242.0,0.5103,1.4897,3.8332996368408203
243.0,0.5103,1.4897,5.303684234619141
247.0,0.5103,1.4897,3.7857189178466797
248.0,0.5103,1.4897,3.7535579204559326
249.0,0.5103,1.4897,14.704648494720459
250.0,0.4796,1.5204,3.794121503829956
252.0,0.4796,1.5204,4.007885694503784
253.0,0.4796,1.5204,3.8221285343170166
256.0,0.4796,1.5204,5.367925405502319
257.0,0.4796,1.5204,3.770236015319824
260.0,0.4796,1.5204,3.936401844024658
261.0,0.4796,1.5204,4.426118612289429
262.0,0.4796,1.5204,3.7742955684661865
263.0,0.4796,1.5204,5.07527756690979
264.0,0.4796,1.5204,3.8853096961975098
265.0,0.4796,1.5204,4.00147008895874
267.0,0.4796,1.5204,5.149060487747192
268.0,0.4796,1.5204,3.8716745376586914
270.0,0.4796,1.5204,4.4239771366119385
271.0,0.4796,1.5204,4.065797567367554
272.0,0.4796,1.5204,3.83465838432312
273.0,0.4796,1.5204,4.08716893196106
274.0,0.4796,1.5204,5.192097425460815
275.0,0.4796,1.5204,3.8757779598236084
277.0,0.4796,1.5204,4.401572227478027
278.0,0.4796,1.5204,4.215510606765747
280.0,0.4796,1.5204,4.127218008041382
282.0,0.4796,1.5204,5.218948125839233
283.0,0.4796,1.5204,3.96036958694458
284.0,0.4796,1.5204,4.672598123550415
289.0,0.4796,1.5204,4.111364126205444
290.0,0.4796,1.5204,3.8469183444976807
291.0,0.4796,1.5204,5.018150329589844
292.0,0.4796,1.5204,4.045844554901123
294.0,0.4796,1.5204,4.353405475616455
295.0,0.4796,1.5204,4.469018936157227
296.0,0.4796,1.5204,3.9181957244873047
297.0,0.4796,1.5204,14.306068897247314
298.0,0.4796,1.5204,5.479478120803833
300.0,0.4796,1.5204,4.293515682220459
