cost,SR,IR,rmse,r2,max_value,operation_time
50.0,136.64809607443942,490.29236423832185,116.8653622283063,0.08283681083208427,472.6164913279043,0.0
51.0,136.64809607443942,408.1000847842597,144.67395219134002,-0.4055803853691793,472.6164913279043,0.794374942779541
52.0,136.64809607443942,288.92529186816546,165.55697231969643,-0.8406446282362949,472.6164913279043,0.7783238887786865
53.0,23.91541046050247,518.0607866013056,211.45936020459152,-2.0028167135029964,585.3491769418413,0.7684876918792725
54.0,23.91541046050247,504.0847156816649,240.61325939298308,-2.8878912546764877,585.3491769418413,0.7995724678039551
55.0,23.91541046050247,449.7186204064219,359.70328620625554,-7.688880168083708,585.3491769418413,0.8133985996246338
56.0,-87.61632875647638,456.68152767595814,137.68587315491962,-0.2730743348383793,696.8809161588201,0.7935597896575928
57.0,-87.61632875647638,501.5192849659072,664.5960326410473,-28.661320768477726,696.8809161588201,0.7905447483062744
58.0,-87.61632875647638,467.9323491472599,135.27675549122785,-0.22891360926017668,696.8809161588201,0.7950375080108643
59.0,-87.61632875647638,-594.655771045145,427.01061427441516,-11.244818093302776,696.8809161588201,0.7968525886535645
60.0,-87.61632875647638,425.8677426495883,161.85743629375088,-0.7593016545246478,696.8809161588201,0.7976961135864258
61.0,-87.61632875647638,493.89296493112084,256.7870083685155,-3.4281374410040506,696.8809161588201,0.7808597087860107
63.0,-87.61632875647638,-1699.9259948560507,1279.4953375442788,-108.93915941445998,696.8809161588201,0.8131442070007324
64.0,-87.61632875647638,-2879.63056154284,941.5267210738025,-58.53060508307133,696.8809161588201,0.8290855884552002
65.0,-87.61632875647638,385.312657655291,557.9140196657833,-19.903044559610656,696.8809161588201,0.8211624622344971
66.0,-87.61632875647638,-862.3331528803701,406.1190625619386,-10.075969389174942,696.8809161588201,0.8821196556091309
67.0,-87.61632875647638,-587.2401539358445,453.3957899669999,-12.804795039074923,696.8809161588201,0.8335938453674316
68.0,-87.61632875647638,313.1813125360017,1476.1169474269843,-145.32432507864675,696.8809161588201,0.8860437870025635
69.0,-87.61632875647638,-12296.685221525919,5431.933105200552,-1980.4532155377271,696.8809161588201,0.8302457332611084
70.0,-87.61632875647638,158.56906176991288,1577.186596434152,-166.04795060405488,696.8809161588201,0.8634457588195801
71.0,-87.61632875647638,-678.7754519460389,429.36218498383136,-11.380055210123844,696.8809161588201,0.8487639427185059
72.0,-87.61632875647638,440.005481824943,1163.3711694041426,-89.889055553108,696.8809161588201,0.8490910530090332
73.0,-87.61632875647638,528.3732837099269,140.53773545612327,-0.3263584217758704,696.8809161588201,0.8409128189086914
78.0,-87.61632875647638,81.17864123981781,730.3983071258081,-34.82568579250187,696.8809161588201,0.9076995849609375
80.0,-87.61632875647638,-2501.258836411259,1417.8111405027173,-133.99316064552494,696.8809161588201,0.8510358333587646
81.0,-87.61632875647638,300.1655481266152,1770.559631409003,-209.52133383203872,696.8809161588201,0.8529829978942871
82.0,-87.61632875647638,258.0580554023489,283.4094121597257,-4.39390800682535,696.8809161588201,0.8517777919769287
83.0,-87.61632875647638,-2347.678862356176,1851.5507793133238,-229.2216971517494,696.8809161588201,0.8510074615478516
84.0,-87.61632875647638,79.67922223618416,636.0514759248855,-26.16811620517657,696.8809161588201,0.8568384647369385
87.0,-87.61632875647638,-257.05661595905076,1453.5380326831496,-140.88216159440674,696.8809161588201,0.8533263206481934
88.0,-87.61632875647638,10.53576720988292,2991.959040987868,-600.1547520224872,696.8809161588201,0.8843305110931396
89.0,-87.61632875647638,119.86860347809477,1957.4347801269817,-256.30581317769924,696.8809161588201,0.8850672245025635
90.0,-87.61632875647638,-10604.550486789638,3621.1124957676516,-879.5601570372929,696.8809161588201,0.871943473815918
91.0,-87.61632875647638,-6376.373018495528,2743.000150509998,-504.27366071739556,696.8809161588201,0.8925447463989258
92.0,-87.61632875647638,-14512.168362828177,7347.734532814802,-3624.6168887894314,696.8809161588201,0.8775811195373535
93.0,-87.61632875647638,-15769.660245590825,2374.9074864792797,-377.7637343934204,696.8809161588201,0.8784453868865967
94.0,-87.61632875647638,-16805.50117256656,4479.395931972542,-1346.4538488067553,696.8809161588201,0.8887979984283447
96.0,-87.61632875647638,-4894.670617679449,1686.4659754883028,-189.99859130102257,696.8809161588201,0.8868229389190674
97.0,-87.61632875647638,-11514.64184827802,6497.915344311943,-2834.457190530121,696.8809161588201,0.9134373664855957
99.0,-87.61632875647638,-22140.34547514474,11735.317154502733,-9247.358560880713,696.8809161588201,0.8663287162780762
100.0,-87.61632875647638,-14226.249637933124,5709.361493986467,-2188.021766927265,696.8809161588201,0.9138622283935547
101.0,-87.61632875647638,-20894.563494846887,7400.970883885835,-3677.344388557029,696.8809161588201,0.9189996719360352
102.0,-87.61632875647638,-553.1538213084032,224.3292192662335,-2.379455144839215,696.8809161588201,0.9191160202026367
