cost,SR,max_value,operation_time
50.0,0.488,1.512,0.0
59.0,0.488,1.512,30.210274934768677
66.0,0.488,1.512,6.262388229370117
73.0,0.488,1.512,7.213038921356201
81.0,0.488,1.512,6.422519207000732
85.0,0.488,1.512,6.468805551528931
92.0,0.488,1.512,6.925590753555298
101.0,0.488,1.512,6.559667348861694
104.0,0.488,1.512,7.495680809020996
105.0,0.488,1.512,6.021127462387085
107.0,0.488,1.512,7.118178367614746
108.0,0.488,1.512,6.086657762527466
110.0,0.488,1.512,6.779459238052368
114.0,0.488,1.512,7.488081216812134
116.0,0.488,1.512,6.459722995758057
117.0,0.488,1.512,7.2782158851623535
121.0,0.488,1.512,6.375011682510376
122.0,0.488,1.512,6.559679746627808
123.0,0.488,1.512,6.120383024215698
125.0,0.488,1.512,6.934247255325317
134.0,0.488,1.512,7.045145273208618
135.0,0.488,1.512,6.266458988189697
139.0,0.488,1.512,8.235694885253906
140.0,0.488,1.512,6.203619480133057
142.0,0.488,1.512,7.1194891929626465
146.0,0.488,1.512,6.514405965805054
147.0,0.488,1.512,6.610087156295776
149.0,0.488,1.512,7.792222738265991
153.0,0.488,1.512,6.681793451309204
