cost,SR,max_value,operation_time
50.0,0.488,1.512,0.0
59.0,0.488,1.512,26.834317684173584
66.0,0.488,1.512,4.642892122268677
73.0,0.488,1.512,4.850488901138306
81.0,0.488,1.512,5.291086196899414
82.0,0.488,1.512,4.6734299659729
85.0,0.488,1.512,5.112196683883667
94.0,0.488,1.512,5.352011442184448
97.0,0.488,1.512,4.899272441864014
102.0,0.488,1.512,5.1239025592803955
110.0,0.488,1.512,5.211134195327759
118.0,0.488,1.512,5.4121880531311035
120.0,0.488,1.512,5.223192453384399
121.0,0.488,1.512,4.947956562042236
123.0,0.488,1.512,5.006268739700317
125.0,0.488,1.512,5.193480968475342
133.0,0.488,1.512,5.568333387374878
139.0,0.488,1.512,5.051713943481445
140.0,0.488,1.512,5.038937091827393
142.0,0.488,1.512,5.056934356689453
143.0,0.488,1.512,5.075769424438477
144.0,0.488,1.512,5.55682635307312
145.0,0.488,1.512,5.361166715621948
146.0,0.488,1.512,5.068776845932007
148.0,0.488,1.512,5.2172253131866455
151.0,0.488,1.512,5.567044019699097
