cost,SR,IR,rmse,r2,max_value,operation_time
94.0,3.5004502817370593,-49.42724076729856,52.60939803849033,-40.307267592424125,51.25398621118286,0.0
95.0,3.5004502817370593,-73.68278080354074,56.469531843002834,-46.59136676858113,51.25398621118286,66.24292469024658
96.0,3.5004502817370593,-67.41839080698773,50.23343581111928,-36.66045563523025,51.25398621118286,67.08136796951294
104.0,3.5004502817370593,-84.89032645275319,60.864333114267225,-54.287320018327236,51.25398621118286,67.78061938285828
112.0,3.5004502817370593,-82.21704942120098,58.82756968948683,-50.6489642638165,51.25398621118286,67.01442527770996
113.0,3.5004502817370593,-92.51003181934217,65.48310639752184,-62.996813392084974,51.25398621118286,66.89856457710266
114.0,-0.6907407345984709,-87.37717842943036,62.205118188614485,-56.75000710966129,55.44517722751839,67.09560203552246
122.0,-0.6907407345984709,-107.05167994916226,76.20006639878241,-85.6583673093458,55.44517722751839,64.36342883110046
123.0,-0.6907407345984709,-88.25331754238886,63.098250216987914,-58.42024454165198,55.44517722751839,65.78207588195801
131.0,-0.6907407345984709,-108.96604593175854,78.63676268235776,-91.28923694228554,55.44517722751839,66.46972918510437
132.0,-0.6907407345984709,-98.71920105084601,71.56317330319872,-75.43266158146898,55.44517722751839,68.3294575214386
140.0,-0.6907407345984709,-116.05235852185842,84.73545540988698,-106.1593667972803,55.44517722751839,64.4088044166565
148.0,-0.6907407345984709,-102.98288301765442,75.12191141675657,-83.22345678995734,55.44517722751839,68.54481196403503
156.0,-0.6907407345984709,-120.7073164590386,87.88942461072384,-114.28506411208247,55.44517722751839,70.31234431266785
